review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,16,17,1,No tan bueno,Cumple con lo prometido.,true,48,2025-08-23
2,18,9,1,Excelente producto,Excelente relación calidad-precio.,false,41,2026-01-21
3,15,15,2,Muy bueno,El producto es correcto pero la entrega tardó.,false,50,2024-11-26
4,15,18,5,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",false,33,2023-02-25
5,7,14,2,Buena calidad,Llegó a tiempo y en perfecto estado.,true,17,2024-02-08
6,11,17,2,No tan bueno,Muy buena calidad por el precio.,true,27,2023-01-29
7,1,28,4,Cumple expectativas,Excelente relación calidad-precio.,true,16,2025-05-15
8,5,4,2,Recomendado,No cumplió mis expectativas.,true,13,2023-04-09
9,20,8,1,Satisfecho,Excelente relación calidad-precio.,true,6,2023-05-16
10,9,1,3,Cumple expectativas,Llegó a tiempo y en perfecto estado.,true,4,2023-09-04
11,13,5,4,Excelente producto,Llegó a tiempo y en perfecto estado.,true,19,2025-12-14
12,7,28,2,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",false,2,2023-07-30
13,11,10,2,Podría mejorar,Muy buena calidad por el precio.,false,32,2026-01-04
14,7,26,5,Excelente producto,Excelente relación calidad-precio.,false,3,2026-02-18
15,20,34,2,Satisfecho,Bueno pero esperaba un poco más.,false,20,2023-07-24
16,8,30,5,Muy bueno,Cumple con lo prometido.,false,5,2025-01-19
17,14,25,2,Excelente producto,Llegó a tiempo y en perfecto estado.,false,32,2025-06-18
18,6,23,3,No tan bueno,Llegó a tiempo y en perfecto estado.,true,26,2025-12-05
19,19,34,1,Buena calidad,El producto es correcto pero la entrega tardó.,true,40,2024-01-18
20,15,4,5,Muy bueno,Cumple con lo prometido.,false,9,2025-06-21
21,19,4,4,Muy bueno,Muy buena calidad por el precio.,false,33,2023-08-24
22,12,30,1,Podría mejorar,Bueno pero esperaba un poco más.,false,44,2026-02-26
23,3,4,2,Cumple expectativas,Llegó a tiempo y en perfecto estado.,true,37,2024-03-30
24,9,8,4,Excelente producto,Excelente relación calidad-precio.,true,32,2026-03-01
25,13,16,5,Recomendado,Muy buena calidad por el precio.,true,6,2025-08-05
26,16,3,4,No tan bueno,El producto es correcto pero la entrega tardó.,true,27,2024-08-13
27,8,11,4,No tan bueno,Bueno pero esperaba un poco más.,true,19,2024-12-05
28,1,4,2,Muy bueno,Cumple con lo prometido.,false,47,2025-05-21
29,8,31,5,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,50,2025-10-25
30,11,1,1,Buena calidad,Bueno pero esperaba un poco más.,true,34,2023-02-02
31,4,9,3,Cumple expectativas,Cumple con lo prometido.,true,31,2024-09-29
32,13,24,3,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",true,15,2023-04-20
33,12,8,1,Podría mejorar,Muy buena calidad por el precio.,false,44,2025-02-04
34,4,10,2,Satisfecho,No cumplió mis expectativas.,false,21,2025-12-23
